meeting_id,original_filename,meeting_year,meeting_date,committee_name,source_url,final_url,page_count,file_size,sha256
052556,052556.pdf,22,1019,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44838,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44838,65,1880064,43f0b7d6a598e557b798393492debc7377fa8adb5e25678500eef26609866520
052364,052364.pdf,22,1018,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44831,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44831,72,1314218,f4c7c863dad3afd2eb5481b1e1a16b2ebc5c659b1c438227bc0ba447b77bff29
052493,052493.pdf,22,1014,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44801,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44801,77,2220032,f71ad8ee9191083b63740d4152cfc68dd15861f98de11392dbd828d9c7d7da73
052423,052423.pdf,22,1013,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44787,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44787,93,2481152,2f8c1573cbbd7fa3f81f7713696189b84d93ebb310c1539b3c3dc8d7057d0016
052280,052280.pdf,22,1011,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44762,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44762,74,2086912,5b53775af9cab85466f6bec324fbc8b30f243c5b6cdb7650cf999bf17d6c41ee
052229,052229.pdf,22,1005,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44731,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44731,91,2364416,bbf01fc2ab16dc5d42a4467b12a93c6a3ca7c99b4fa10c8e70d50ff2b3ae5ad5
051402,051402.pdf,21,1021,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44707,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44707,85,2268160,e7f98e7abf4e7885f1ebf0937a5445240daac6f489e36213f0ce12b079eb900a
051535,051535.pdf,21,1019,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44683,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44683,77,2200576,6c81ed05f48ba7ec83281578c397ff993d3bd0c0a7199467d35120d2e7dbc437
051487,051487.pdf,21,1014,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44649,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44649,83,1477425,2d9f5abf0eaf9083a169ab9fdec65fe1106da354a585096fcd6a655226b32ecc
051424,051424.pdf,21,1012,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44625,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44625,80,2173952,543b70245cab8c68742b40d1c0e99cde95c8ff2a574b0ed4e25cf023ed0f0764
051558,051558.pdf,21,1007,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44594,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44594,65,1822720,bbfa620de1422dba41bc9a9920f065adb3a2d877553719c6a3685f2c5f362201
051381,051381.pdf,21,1005,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44578,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44578,81,2161664,41bc4c0b7b4845fe2e62f9a6f83b0ce3b1d26396d18072b8e31589c031f3f631
051354,051354.pdf,21,1001,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44569,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44569,89,2310144,ae1ffb39bf27ec2b1c6e15975ba289b9988cd4e13662186812be57ff10c22781
050430,050430.pdf,20,1026,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44558,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44558,97,2451456,ed5475928c143a59a7dccdb0a2cf3d8d3a7b30a4a132b0365f8a9c97362b9bbc
050606,050606.pdf,20,1022,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44536,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44536,102,2681856,b1fa06537f75dcd64976e07d41910e6a39fbeac3b712a946e31320df83f6327a
050673,050673.pdf,20,1019,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44504,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44504,78,2115584,7516b042f79b146b18ce1214883705b8b0daf7c8d902c978bf79d8528e1f34ad
050615,050615.pdf,20,1016,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44490,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44490,94,2467840,a5c7e9da852e3a80f12c8da3181c801dcc787cba746aef89e22ec6d556d975d6
050492,050492.pdf,20,1015,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44480,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44480,90,2457600,c33ca3dba98c93cfda48fb3b30bcdb0eeaf4798e1f181abbc8f9151c53f02dbb
050350,050350.pdf,20,1012,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44447,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44447,86,2368512,925920014947df9d23b66c72fb98b8bef403ec67bb0b32fd71b875d61d8ff6d6
050308,050308.pdf,20,1007,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44423,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44423,91,1642620,b4214ed1e023978e54ae2ae6d9b4a72f3f48a03a710178efb67ca6a983989563
