segment_no,vector_row
050673_SEG_CURR_NEXT_00545,454
050673_SEG_PREV_CURR_00546,455
050673_SEG_PREV_CURR_00428,456
050673_SEG_CURR_NEXT_00427,457
050673_SEG_CURR_NEXT_00544,458
050673_SEG_PREV_CURR_00545,459
050673_SEG_TURN_00557,460
050673_SEG_CURR_NEXT_00546,461
050673_SEG_PREV_CURR_00547,462
050673_SEG_TURN_00429,463
050673_SEG_TURN_00547,464
050673_SEG_TURN_00551,465
050492_SEG_TURN_01285,466
050673_SEG_TURN_00433,467
050673_SEG_TURN_00563,468
050673_SEG_TURN_01197,469
050673_SEG_TURN_00546,470
050492_SEG_PREV_CURR_01286,471
050492_SEG_CURR_NEXT_01285,472
050492_SEG_PREV_CURR_01285,473
050492_SEG_CURR_NEXT_01284,474
050673_SEG_TURN_00553,475
050673_SEG_CURR_NEXT_00547,476
050673_SEG_PREV_CURR_00548,477
050673_SEG_CURR_NEXT_00556,478
050673_SEG_PREV_CURR_00557,479
050673_SEG_CURR_NEXT_01197,480
050673_SEG_PREV_CURR_01198,481
050673_SEG_CURR_NEXT_00557,482
050673_SEG_PREV_CURR_00558,483
050673_SEG_TURN_00561,484
050673_SEG_TURN_00555,485
050673_SEG_TURN_00031,486
050673_SEG_CURR_NEXT_00553,487
050673_SEG_PREV_CURR_00554,488
050673_SEG_CURR_NEXT_00551,489
050673_SEG_PREV_CURR_00552,490
050673_SEG_TURN_00559,491
050673_SEG_PREV_CURR_00555,492
050673_SEG_CURR_NEXT_00554,493
050673_SEG_CURR_NEXT_00030,494
050673_SEG_PREV_CURR_00031,495
050673_SEG_CURR_NEXT_00552,496
050673_SEG_PREV_CURR_00553,497
050673_SEG_TURN_00998,498
050673_SEG_TURN_01088,499
050673_SEG_TURN_01090,500
050673_SEG_TURN_01008,501
050673_SEG_TURN_00992,502
050673_SEG_TURN_00996,503
050673_SEG_PREV_CURR_00999,504
050673_SEG_CURR_NEXT_00998,505
050673_SEG_TURN_00990,506
050673_SEG_TURN_01006,507
050673_SEG_PREV_CURR_00998,508
050673_SEG_CURR_NEXT_00997,509
050673_SEG_TURN_01004,510
050673_SEG_PREV_CURR_00992,511
050673_SEG_CURR_NEXT_00991,512
050673_SEG_PREV_CURR_00997,513
050673_SEG_CURR_NEXT_00996,514
050430_SEG_TURN_00197,515
050673_SEG_PREV_CURR_01008,516
050673_SEG_CURR_NEXT_01007,517
050673_SEG_PREV_CURR_00991,518
050673_SEG_CURR_NEXT_00990,519
050673_SEG_PREV_CURR_00990,520
050673_SEG_CURR_NEXT_00989,521
050673_SEG_TURN_00016,522
050673_SEG_PREV_CURR_01009,523
050673_SEG_CURR_NEXT_01008,524
050606_SEG_TURN_01424,525
050673_SEG_PREV_CURR_00996,526
050673_SEG_CURR_NEXT_00995,527
050430_SEG_PREV_CURR_00198,528
050430_SEG_CURR_NEXT_00197,529
050673_SEG_PREV_CURR_01007,530
050673_SEG_CURR_NEXT_01006,531
050673_SEG_PREV_CURR_01004,532
050673_SEG_CURR_NEXT_01003,533
050606_SEG_PREV_CURR_01424,534
050606_SEG_CURR_NEXT_01423,535
050606_SEG_PREV_CURR_01425,536
050606_SEG_CURR_NEXT_01424,537
050673_SEG_CURR_NEXT_00992,538
050673_SEG_PREV_CURR_00993,539
050673_SEG_CURR_NEXT_01005,540
050673_SEG_PREV_CURR_01006,541
050673_SEG_PREV_CURR_00017,542
050673_SEG_TURN_00329,543
050673_SEG_TURN_01159,544
050673_SEG_TURN_00538,545
050673_SEG_PREV_CURR_01159,546
050673_SEG_CURR_NEXT_01158,547
050673_SEG_PREV_CURR_01160,548
050673_SEG_CURR_NEXT_01159,549
050673_SEG_TURN_00948,550
050350_SEG_TURN_00167,551
050673_SEG_CURR_NEXT_00329,552
050673_SEG_PREV_CURR_00330,553
050673_SEG_PREV_CURR_00538,554
050673_SEG_CURR_NEXT_00537,555
050673_SEG_TURN_00295,556
050673_SEG_PREV_CURR_00295,557
050673_SEG_CURR_NEXT_00294,558
050430_SEG_TURN_00570,559
050673_SEG_TURN_01118,560
050673_SEG_CURR_NEXT_00295,561
050673_SEG_PREV_CURR_00296,562
050430_SEG_PREV_CURR_00570,563
050430_SEG_CURR_NEXT_00569,564
050673_SEG_CURR_NEXT_00367,565
050673_SEG_PREV_CURR_00368,566
050673_SEG_TURN_00986,567
050350_SEG_TURN_00885,568
050673_SEG_CURR_NEXT_00986,569
050673_SEG_PREV_CURR_00987,570
050673_SEG_CURR_NEXT_00985,571
050673_SEG_PREV_CURR_00986,572
050350_SEG_CURR_NEXT_00166,573
050350_SEG_PREV_CURR_00167,574
050430_SEG_CURR_NEXT_00570,575
050430_SEG_PREV_CURR_00571,576
050673_SEG_PREV_CURR_01119,577
050673_SEG_CURR_NEXT_01118,578
050673_SEG_CURR_NEXT_00328,579
050673_SEG_PREV_CURR_00329,580
050430_SEG_TURN_00231,581
050673_SEG_CURR_NEXT_00948,582
050673_SEG_PREV_CURR_00949,583
050430_SEG_PREV_CURR_00231,584
050430_SEG_CURR_NEXT_00230,585
050673_SEG_CURR_NEXT_00122,586
050606_SEG_TURN_00626,587
050308_SEG_TURN_00228,588
050308_SEG_PREV_CURR_00229,589
050308_SEG_CURR_NEXT_00228,590
050308_SEG_CURR_NEXT_00227,591
050308_SEG_PREV_CURR_00228,592
050606_SEG_CURR_NEXT_00625,593
050606_SEG_PREV_CURR_00626,594
050606_SEG_CURR_NEXT_00626,595
050606_SEG_PREV_CURR_00627,596
050308_SEG_TURN_00233,597
050308_SEG_PREV_CURR_00233,598
050308_SEG_CURR_NEXT_00232,599
050308_SEG_CURR_NEXT_00233,600
050308_SEG_PREV_CURR_00234,601
050308_SEG_TURN_00230,602
050308_SEG_CURR_NEXT_00229,603
050308_SEG_PREV_CURR_00230,604
050606_SEG_TURN_00706,605
050308_SEG_PREV_CURR_00231,606
